Order,Movie Title,Sort Title,Year,Disk Tokens,Jellyfin Aliases
01,Fantastic Beasts and Where to Find Them,HP 01 - Fantastic Beasts and Where to Find Them,2016,fantastic beasts where find,
02,Fantastic Beasts: The Crimes of Grindelwald,HP 02 - Fantastic Beasts The Crimes of Grindelwald,2018,crimes grindelwald,
03,Fantastic Beasts: The Secrets of Dumbledore,HP 03 - Fantastic Beasts The Secrets of Dumbledore,2022,secrets dumbledore,
04,Harry Potter and the Sorcerer's Stone,HP 04 - Harry Potter and the Sorcerer's Stone,2001,sorcerer stone,Harry Potter and the Philosopher's Stone
05,Harry Potter and the Chamber of Secrets,HP 05 - Harry Potter and the Chamber of Secrets,2002,chamber secrets,
06,Harry Potter and the Prisoner of Azkaban,HP 06 - Harry Potter and the Prisoner of Azkaban,2004,prisoner azkaban,
07,Harry Potter and the Goblet of Fire,HP 07 - Harry Potter and the Goblet of Fire,2005,goblet fire,
08,Harry Potter and the Order of the Phoenix,HP 08 - Harry Potter and the Order of the Phoenix,2007,order phoenix,
09,Harry Potter and the Half-Blood Prince,HP 09 - Harry Potter and the Half-Blood Prince,2009,half blood prince,
10,Harry Potter and the Deathly Hallows: Part 1,HP 10 - Harry Potter and the Deathly Hallows Part 1,2010,deathly hallows part 1,
11,Harry Potter and the Deathly Hallows: Part 2,HP 11 - Harry Potter and the Deathly Hallows Part 2,2011,deathly hallows part 2,
