Order,Movie Title,Sort Title
01,Captain America: The First Avenger,MCU 01 - Captain America The First Avenger
02,Captain Marvel,MCU 02 - Captain Marvel
03,Iron Man,MCU 03 - Iron Man
04,Iron Man 2,MCU 04 - Iron Man 2
05,The Incredible Hulk,MCU 05 - The Incredible Hulk
06,Thor,MCU 06 - Thor
07,The Avengers,MCU 07 - The Avengers
08,Iron Man 3,MCU 08 - Iron Man 3
09,Thor: The Dark World,MCU 09 - Thor The Dark World
10,Captain America: The Winter Soldier,MCU 10 - Captain America The Winter Soldier
11,Guardians of the Galaxy,MCU 11 - Guardians of the Galaxy
12,Guardians of the Galaxy Vol. 2,MCU 12 - Guardians of the Galaxy Vol. 2
13,Avengers: Age of Ultron,MCU 13 - Avengers Age of Ultron
14,Ant-Man,MCU 14 - Ant-Man
15,Captain America: Civil War,MCU 15 - Captain America Civil War
16,Black Widow,MCU 16 - Black Widow
17,Spider-Man: Homecoming,MCU 17 - Spider-Man Homecoming
18,Black Panther,MCU 18 - Black Panther
19,Doctor Strange,MCU 19 - Doctor Strange
20,Thor: Ragnarok,MCU 20 - Thor Ragnarok
21,Ant-Man and the Wasp,MCU 21 - Ant-Man and the Wasp
22,Avengers: Infinity War,MCU 22 - Avengers Infinity War
23,Avengers: Endgame,MCU 23 - Avengers Endgame
24,Spider-Man: Far From Home,MCU 24 - Spider-Man Far From Home
25,Eternals,MCU 25 - Eternals
26,Shang-Chi and the Legend of the Ten Rings,MCU 26 - Shang-Chi and the Legend of the Ten Rings
27,Spider-Man: No Way Home,MCU 27 - Spider-Man No Way Home
28,Doctor Strange in the Multiverse of Madness,MCU 28 - Doctor Strange in the Multiverse of Madness
29,Thor: Love and Thunder,MCU 29 - Thor Love and Thunder
30,Black Panther: Wakanda Forever,MCU 30 - Black Panther Wakanda Forever
31,Ant-Man and the Wasp: Quantumania,MCU 31 - Ant-Man and the Wasp Quantumania
32,Guardians of the Galaxy Vol. 3,MCU 32 - Guardians of the Galaxy Vol. 3
33,The Marvels,MCU 33 - The Marvels
34,Deadpool & Wolverine,MCU 34 - Deadpool & Wolverine
35,Captain America: Brave New World,MCU 35 - Captain America Brave New World
36,Thunderbolts*,MCU 36 - Thunderbolts
37,The Fantastic Four: First Steps,MCU 37 - The Fantastic Four First Steps
38,Spider-Man: Brand New Day,MCU 38 - Spider-Man Brand New Day
39,Avengers: Doomsday,MCU 39 - Avengers Doomsday
